IDATA =     1        NTRIAL =  1000        RANDOM SEED =       10000000.
PMEAN       6.3475E-02    1.2111E-01    1.5625E-02    1.2768E-01    3.2789E-01
PSDEV       4.8853E-02    8.6448E-02    4.2896E-02    2.5607E-02    1.1705E-01
PRMIN       8.0358E-03    2.7265E-02     .0000E+00    7.6989E-02    1.3831E-01
 .10        3.0000E-02    5.0000E-02     .0000E+00    1.0000E-01    2.2000E-01
 .25        4.0000E-02    7.0000E-02     .0000E+00    1.1000E-01    2.4000E-01
 .50        5.0000E-02    1.0000E-01     .0000E+00    1.3000E-01    3.2000E-01
 .75        8.0000E-02    1.5000E-01     .0000E+00    1.5000E-01    4.0000E-01
 .90        1.4000E-01    2.0000E-01    9.0000E-02    1.7000E-01    5.0000E-01
PRMAX       3.2612E-01    4.9416E-01    2.9056E-01    2.3452E-01    8.3985E-01
RUTIL            .9113
CERTEQ           .3387
IHALT      95  512   43  350
RANDOM NUMBER SEED (RNSEED) FOR NEXT RUN =       15969712.
